"1","GAVE","-","Nacional","N/A","N/A","N/A","N/A","N/A","Acero","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NA","NA",,"9.6 x 6 x 2.5","N/A","N/A","N/A","N/A","S/C",,,,"C"
"2","CFC24L/O","Techo","Nacional","1440","50-60 Hz","127 V~","11.5","1512","Acero Forjado","CRISTAL","Negro","N/A","20","N/A","N/A","N/A","N/A","E27","24",,"172 x 160 Base 21 (Cadena: 270 de 1/4","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"3","CFC24L/N","Techo","AUSTRE / GUIDO","1440","50-60 Hz","127 V~","11.5","1512","Acero Forjado","CRISTAL","Oxido","N/A","20","N/A","N/A","N/A","N/A","E27","24",,"172 x 160 Base 21 (Cadena: 270 de 1/4","N/A","Incandescente","Opcional","Interior","S/C",,,,"SOBRE  PEDIDO"
"4","CFI12L/ONIX/O","Techo","AUSTRE / LUZBEY","720","50-60 Hz","127 V~","5.8","756","Acero Forjado","ONIX NATURAL","OXIDO","N/A","20","N/A","N/A","N/A","N/A","E27","12",,"110 x 120. Base 17 (cadena: 270 de 1/8) ","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
"5","CFC12L/O","Techo","AUSTRE / GUIDO","720","50-60 Hz","127 V~","5.8","756","Acero Forjado","CRISTAL","OXIDO","N/A","20","N/A","N/A","N/A","N/A","E27","12",,"130 x 115. Base 17 (cadena: 180 de 1/8) ","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"6","CFI9L/ONIX/O","Techo","AUSTRE / LUZBEY","540","50-60 Hz","127 V~","4.3","567","Acero Forjado","ONIX NATURAL","OXIDO","N/A","20","N/A","N/A","N/A","N/A","E27","9",,"110 x 109. Base 17 (cadena: 90 de 1/4) ","N/A","Incandescente","Opcional","Interior","S/C",,,,"B"
"7","CFD9L/CH","Techo","AUSTRE / GUIDO","540","50-60 Hz","127 V~","4.3","567","Acero Forjado","CRISTAL","CHOCOLATE","N/A","20","N/A","N/A","N/A","N/A","E27","9",,"120 x 122 Base 17 (Cadena: 212 de 1/4)","N/A","Incandescente","Opcional","Interior","S/C",,,,"SOBREPEDIDO"
"8","CFK9L/O","Techo","AUSTRE / GUIDO","540","50-60 Hz","127 V~","4.3","567","Acero Forjado","CRISTAL","OXIDO","N/A","20","N/A","N/A","N/A","N/A","E27","9",,"85 x 72.5 Base 17 (Cadena: 90 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"SOBREPEDIDO"
"9","C2026-3+6/CO","Techo","World of Ligths","540","50-60 Hz","127 V~","4.3","567","Acero","CRISTAL","CAFÉ OBSCURO","N/A","20","N/A","N/A","N/A","N/A","E27","9",,"62.5 x 56.5 Base 13 (Cadena 51.1 de 1/8","N/A","Incandescente","Opcional","Interior","S/C",,,,"C"
"10","C2026-3+6/S","Techo","World of Ligths","540","50-60 Hz","127 V~","4.3","567","Acero","CRISTAL","Satinado","N/A","20","N/A","N/A","N/A","N/A","E27","9",,"62.5 x 56.5 Base 13 (Cadena 51.1 de 1/8","N/A","Incandescente","Opcional","Interior","S/C",,,,"C"
